Landshlutar,Póstnúmer,Age,Gender,Other Category,Flettingar,% Δ,Fjöldi eigna,% Δ,Avg. Time on Page,% Δ
Garðabær,210 Garðabær,65+,female,Arts & Entertainment/Celebrities & Entertainment News,642,-0.13593539703903096,6,-0.25,22.389830508474578,0.9220007700090433
Kópavogur,"200 Kópavogur (Kársnes, Digranes)",25-34,male,[Life Events] Moving/Recently Moved,638,-0.32983193277310924,5,-0.4444444444444444,27.230508474576272,0.26175847457627127
Kópavogur,"200 Kópavogur (Kársnes, Digranes)",65+,female,Arts & Entertainment/Celebrities & Entertainment News,634,-0.33958333333333335,6,-0.3333333333333333,15.5678391959799,-0.16484027057413142
Reykjavík,110 Reykjavík (Árbær),18-24,male,Arts & Entertainment/TV & Video/Online Video,633,2.767857142857143,4,1,25.993127147766323,-0.14725488052937044
Reykjavík,101 Reykjavík (Miðborg),25-34,female,[Life Events] Job Change/Recently Started New Job,632,-0.5301115241635688,9,-0.35714285714285715,22.16923076923077,0.5664201267050174
Garðabær,210 Garðabær,35-44,female,Arts & Entertainment/Celebrities & Entertainment News,627,-0.11189801699716714,5,-0.2857142857142857,11.182795698924732,-0.1543830554593976
Reykjavík,105 Reykjavík (Hlíðar),35-44,male,Sports/Team Sports/Soccer,621,-0.25539568345323743,6,-0.25,13.703839122486288,-0.393083628015835
Vesturland,300 Akranes,25-34,male,[Life Events] Job Change/Recently Started New Job,619,5.381443298969073,5,4,10.919291338582678,1.2581780516964176
Reykjanes,260 Reykjanesbær,25-34,female,Arts & Entertainment/Celebrities & Entertainment News,617,1.373076923076923,5,1.5,22.332688588007738,0.01894437411508179
Reykjavík,104 Reykjavík (Laugardalur),25-34,male,[Life Events] Moving/Recently Moved,614,,7,,14.16042780748663,
Vesturland,300 Akranes,25-34,female,Arts & Entertainment/TV & Video/Online Video,610,1.5416666666666667,5,0.6666666666666666,5.069169960474309,-0.6075968173507048
Norðurland,603 Akureyri,25-34,male,Arts & Entertainment/TV & Video/Online Video,603,2.9411764705882355,4,0.3333333333333333,9.911196911196912,-0.2900765502891971
Reykjavík,109 Reykjavík (Breiðholt),25-34,male,Arts & Entertainment/TV & Video/Online Video,602,-0.3008130081300813,7,-0.3,20.711151736745887,0.10811437522802082
Reykjavík,113 Reykjavík (Grafarholt og Úlfarsárdalur),25-34,male,Sports/Team Sports/Soccer,599,1.995,6,2,17.44055944055944,2.4366539677393204
Kópavogur,"201 Kópavogur (Smárar, Lindir, Salir)",25-34,female,Arts & Entertainment/TV & Video/Online Video,596,1.8653846153846154,7,1.3333333333333333,20.946296296296296,0.04340900570255927
Reykjavík,110 Reykjavík (Árbær),65+,female,Arts & Entertainment/Celebrities & Entertainment News,595,,5,,20.95878136200717,
Kópavogur,"200 Kópavogur (Kársnes, Digranes)",25-34,male,[Life Events] Moving/Moving Soon,591,-0.23840206185567012,6,-0.14285714285714285,21.344506517690874,0.23582899081420278
Mosfellsbær,270 Mosfellsbær,35-44,male,Sports/Team Sports/Soccer,591,0.6554621848739496,6,0.5,26.804387568555757,0.6844574020176974
Reykjavík,101 Reykjavík (Miðborg),25-34,male,News/Sports News,588,-0.29156626506024097,8,-0.1111111111111111,11.98989898989899,-0.3578881767569318
Vesturland,310 Borgarnes,25-34,male,Arts & Entertainment/TV & Video/Online Video,588,,5,,7.27027027027027,
Reykjavík,104 Reykjavík (Laugardalur),25-34,male,News/Sports News,586,3.5426356589147288,5,1.5,12.036964980544747,-0.242707501224006
Reykjavík,107 Reykjavík (Vesturbær),45-54,male,Sports/Team Sports/Soccer,580,2.258426966292135,6,2,18.314079422382672,-0.45584907937210256
Kópavogur,"200 Kópavogur (Kársnes, Digranes)",25-34,female,[Life Events] Moving/Recently Moved,571,-0.5277088502894954,6,-0.5,14.324577861163228,-0.05672375106646125
Vesturland,301 Akranes,25-34,male,Sports/Team Sports/Soccer,563,3.079710144927536,3,2,8.207792207792208,-0.29753129753129753
Reykjavík,105 Reykjavík (Hlíðar),45-54,female,Arts & Entertainment/Celebrities & Entertainment News,562,-0.31713244228432563,5,-0.375,15.18252427184466,-0.17667319555934588
Hafnafjörður,220 Hafnarfjörður,18-24,male,Arts & Entertainment/TV & Video/Online Video,556,-0.04957264957264957,6,-0.14285714285714285,21.46520874751491,-0.039989446438253556
Kópavogur,"200 Kópavogur (Kársnes, Digranes)",35-44,female,Arts & Entertainment/TV & Video/Online Video,553,0.348780487804878,6,0.5,14.42544731610338,-0.1402680394419784
Reykjavík,109 Reykjavík (Breiðholt),25-34,male,News/Sports News,552,0.8839590443686007,5,1.5,10.152263374485596,-0.5439926062846581
Reykjavík,110 Reykjavík (Árbær),45-54,male,Sports/Team Sports/Soccer,549,7.714285714285714,5,4,28.5796812749004,2.524400157218659
